templateID,creatureType,prefabName,hurtboxLayoutKey,StatDatas.statType,StatDatas.value,StatResourceDatas.sType,StatResourceDatas.rType,StatResourceDatas.rValue
0,Monster,Doctor,,MaxHp,40,MaxHp,CurrentHp,-1
,,,,MaxMp,1,,,
,,,,Atk,1,,,
,,,,Def,0,,,
,,,,MoveSpeed,3,,,
,,,,CritRate,0,,,
,,,,CritDamage,1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,Monster,Doctor,,MaxHp,50,MaxHp,CurrentHp,-1
,,,,MaxMp,1,,,
,,,,Atk,1,,,
,,,,Def,0,,,
,,,,MoveSpeed,3,,,
,,,,CritRate,0,,,
,,,,CritDamage,1,,,
,,,,,,,,
,,,,,,,,
21,Monster,Clown,,MaxHp,60,MaxHp,CurrentHp,-1
,,,,MaxMp,1,,,
,,,,Atk,1,,,
,,,,Def,0,,,
,,,,MoveSpeed,4.5,,,
,,,,CritRate,0,,,
,,,,CritDamage,1,,,
,,,,,,,,
,,,,,,,,
30,Monster,NPCRock,,MaxHp,10,MaxHp,CurrentHp,-1
,,,,MaxMp,1,,,
,,,,Atk,30,,,
,,,,Def,0,,,
,,,,MoveSpeed,1,,,
,,,,CritRate,0.2,,,
,,,,CritDamage,1.5,,,
,,,,,,,,
,,,,,,,,
100,Monster,Boss_Cube,,MaxHp,300,MaxHp,CurrentHp,-1
,,,,MaxMp,1,,,
,,,,Atk,1,,,
,,,,Def,0,,,
,,,,MoveSpeed,1,,,
,,,,CritRate,0.2,,,
,,,,CritDamage,1.5,,,
