templateID,creatureType,prefabName,hurtboxLayoutKey,StatDatas.sType,StatDatas.sValue,StatResourceDatas.sType,StatResourceDatas.rType,StatResourceDatas.rValue,InteractionSetId
10,Villager,DEV_TempVillager,temp,MaxHp,6,MaxHp,CurrentHp,-1,
,,,,MaxMp,10,,,,
,,,,Atk,10,,,,
,,,,Def,0,,,,
,,,,MoveSpeed,2,,,,
,,,,CritRate,0.05,,,,
,,,,CritDamage,1.5,,,,
,,,,,,,,,
,,,,,,,,,
11,Villager,DEV_PossessTester,,MaxHp,100,MaxHp,CurrentHp,-1,dev_possess_villager
,,,,MaxMp,10,,,,
,,,,Atk,888,,,,
,,,,Def,0,,,,
,,,,MoveSpeed,1,,,,
,,,,CritRate,0.2,,,,
,,,,CritDamage,1.5,,,,
